Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,0,47.811655,211,191,1559602212.528630,1559602260.340285
2,0,0.523534,310,190,1559602260.340285,1559602260.863819
3,0,16.777463,221,191,1559602261.566685,1559602278.344148
4,0,0.600557,320,190,1559602278.344148,1559602278.944705
5,0,1.312762,111,271,1559602279.650662,1559602280.963424
6,0,0.517972,330,270,1559602280.963424,1559602281.481396
7,1,0.000886,231,271,1559602282.190278,1559602282.191164
8,0,0.382243,340,270,1559602282.191164,1559602282.573407
9,0,0.000637,121,271,1559602283.282245,1559602283.282882
10,0,0.561492,350,270,1559602283.282882,1559602283.844374
11,0,0.000634,131,271,1559602284.535188,1559602284.535822
12,0,0.651071,360,270,1559602284.535822,1559602285.186893
13,0,0.000343,141,271,1559602285.871078,1559602285.871421
14,0,0.635886,370,270,1559602285.871421,1559602286.507307
15,0,0.000884,151,271,1559602287.217008,1559602287.217892
16,0,0.573398,380,270,1559602287.217892,1559602287.791290
17,1,0.000629,241,271,1559602288.500882,1559602288.501511
18,0,1.060777,390,270,1559602288.501511,1559602289.562288
