Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,0,2.673566,211,361,1559520891.197116,1559520893.870682
2,0,0.233286,310,341,1559520894.066569,1559520894.299855
3,0,0.291847,221,331,1559520894.502964,1559520894.794811
4,0,0.384120,320,311,1559520894.997710,1559520895.381830
5,0,0.104869,111,351,1559520895.585140,1559520895.690009
6,0,0.520910,330,321,1559520895.894105,1559520896.415015
7,0,0.679238,121,240,1559520896.617522,1559520897.296760
8,0,1.282519,340,110,1559520897.504286,1559520898.786805
9,0,0.152030,131,230,1559520898.995760,1559520899.147790
10,0,1.591808,350,120,1559520899.350065,1559520900.941873
11,0,2.114934,231,210,1559520901.145745,1559520903.260679
12,0,0.848674,360,220,1559520903.470054,1559520904.318728
13,1,3.994556,141,191,1559520904.527061,1559520908.521617
14,0,0.503236,370,190,1559520908.601408,1559520909.104644
15,0,0.743799,241,191,1559520909.304830,1559520910.048629
16,0,0.219050,380,190,1559520910.256567,1559520910.475617
17,1,0.439118,151,191,1559520910.684241,1559520911.123359
18,0,0.457737,390,190,1559520911.182378,1559520911.640115
