Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,0,19.403347,211,111,1559959574.638024,1559959594.041371
2,1,2.691097,310,310,1559959594.041371,1559959596.732468
3,0,8.630200,221,131,1559959597.312138,1559959605.942338
4,1,2.298912,320,320,1559959605.942338,1559959608.241250
5,0,1.788973,111,271,1559959608.822346,1559959610.611319
6,1,1.230841,330,330,1559959610.611319,1559959611.842160
7,1,0.573957,231,291,1559959612.421173,1559959612.995130
8,1,1.472097,340,360,1559959612.995130,1559959614.467227
9,0,0.135589,121,281,1559959615.048492,1559959615.184081
10,1,1.277000,350,350,1559959615.184081,1559959616.461081
11,0,0.869826,131,261,1559959617.042269,1559959617.912095
12,1,1.819970,360,340,1559959617.912095,1559959619.732065
13,1,1.361064,141,191,1559959620.311975,1559959621.673039
14,1,1.576033,370,370,1559959621.673039,1559959623.249072
15,1,1.218711,151,171,1559959623.829287,1559959625.047998
16,1,2.041076,380,380,1559959625.047998,1559959627.089074
17,1,1.801648,241,251,1559959627.668381,1559959629.470029
18,1,1.275883,390,390,1559959629.470029,1559959630.745912
