Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,0,6.599813,211,111,1559596449.805725,1559596456.405538
2,1,1.211139,310,310,1559596456.595912,1559596457.807051
3,1,1.608919,111,121,1559596458.360739,1559596459.969658
4,1,0.781134,320,320,1559596460.043892,1559596460.825026
5,1,1.004351,121,131,1559596461.379073,1559596462.383424
6,1,1.046668,330,330,1559596462.462751,1559596463.509419
7,0,1.236558,131,211,1559596464.075338,1559596465.311896
8,1,1.399830,340,340,1559596465.496520,1559596466.896350
9,1,1.715289,221,221,1559596467.476132,1559596469.191421
10,1,0.803372,350,350,1559596469.269380,1559596470.072752
11,1,2.727711,141,141,1559596470.625534,1559596473.353245
12,1,0.882813,360,360,1559596473.434936,1559596474.317749
13,1,1.828504,231,231,1559596474.873664,1559596476.702168
14,1,0.869055,370,370,1559596476.760767,1559596477.629822
15,1,3.026895,151,191,1559596478.191151,1559596481.218046
16,1,1.062815,380,380,1559596481.279880,1559596482.342695
17,0,1.734244,161,291,1559596482.900587,1559596484.634831
18,1,0.759860,390,390,1559596484.833942,1559596485.593802
