Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,6.210326,111,111,1559521879.002395,1559521885.212721
2,1,1.686323,310,310,1559521885.282976,1559521886.969299
3,1,4.574929,121,121,1559521887.025831,1559521891.600760
4,1,3.457903,320,320,1559521891.676812,1559521895.134715
5,1,10.304204,131,131,1559521895.209362,1559521905.513566
6,1,1.542386,330,330,1559521905.580097,1559521907.122483
7,1,2.244760,211,211,1559521907.203730,1559521909.448490
8,1,2.544772,340,340,1559521909.525685,1559521912.070457
9,0,8.240745,141,221,1559521912.135485,1559521920.376230
10,1,2.704298,350,350,1559521920.583468,1559521923.287766
11,1,9.992351,151,141,1559521923.345133,1559521933.337484
12,1,1.614935,360,360,1559521933.395049,1559521935.009984
13,1,1.027977,161,151,1559521935.089633,1559521936.117610
14,1,4.090186,370,370,1559521936.178673,1559521940.268859
15,0,163.874854,221,371,1559521940.343014,1559522104.217868
16,1,0.167532,380,370,1559522104.425888,1559522104.593420
17,0,0.409558,171,371,1559522104.648285,1559522105.057843
18,1,0.000899,390,370,1559522105.263326,1559522105.264225
