Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,0,4.484054,211,331,1559521649.427308,1559521653.911362
2,0,0.002057,310,311,1559521654.119432,1559521654.121489
3,0,0.337603,221,351,1559521654.330670,1559521654.668273
4,0,0.004906,320,341,1559521654.873589,1559521654.878495
5,0,0.492032,231,321,1559521655.087285,1559521655.579317
6,0,0.257488,330,140,1559521655.786747,1559521656.044235
7,0,0.408034,241,220,1559521656.245238,1559521656.653272
8,0,2.099453,340,120,1559521656.861798,1559521658.961251
9,0,2.929968,251,130,1559521659.156148,1559521662.086116
10,0,1.596813,350,210,1559521662.295439,1559521663.892252
11,0,0.322944,111,271,1559521664.100399,1559521664.423343
12,0,0.000600,360,270,1559521664.631963,1559521664.632563
13,0,0.037958,121,271,1559521664.840451,1559521664.878409
14,0,0.000605,370,270,1559521665.089575,1559521665.090180
15,1,0.045863,261,271,1559521665.298288,1559521665.344151
16,0,0.058119,380,270,1559521665.422545,1559521665.480664
17,0,0.670875,131,271,1559521665.668218,1559521666.339093
18,0,0.000417,390,270,1559521666.545389,1559521666.545806
