Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,2.788835,211,211,1559602388.051522,1559602390.840357
2,1,1.103002,310,310,1559602390.840357,1559602391.943359
3,1,1.367393,221,221,1559602392.506933,1559602393.874326
4,1,1.024978,320,320,1559602393.874326,1559602394.899304
5,1,1.209864,231,231,1559602395.473363,1559602396.683227
6,1,1.339578,330,330,1559602396.683227,1559602398.022805
7,1,1.940154,111,111,1559602398.580445,1559602400.520599
8,1,2.021570,340,340,1559602400.520599,1559602402.542169
9,1,1.367587,241,241,1559602403.122795,1559602404.490382
10,1,1.202697,350,350,1559602404.490382,1559602405.693079
11,1,1.461638,251,251,1559602406.267352,1559602407.728990
12,1,1.192055,360,360,1559602407.728990,1559602408.921045
13,1,1.447744,121,121,1559602409.499271,1559602410.947015
14,1,2.214934,370,370,1559602410.947015,1559602413.161949
15,1,1.688119,261,261,1559602413.740788,1559602415.428907
16,1,1.478986,380,380,1559602415.428907,1559602416.907893
17,0,1.590093,271,131,1559602417.487172,1559602419.077265
18,1,2.951533,390,390,1559602419.077265,1559602422.028798
