Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,2.366493,111,111,1559602502.881752,1559602505.248245
2,1,1.020004,310,310,1559602505.248245,1559602506.268249
3,1,2.407242,211,211,1559602506.844014,1559602509.251256
4,1,1.089532,320,320,1559602509.251256,1559602510.340788
5,1,1.416322,221,221,1559602510.899796,1559602512.316118
6,1,0.980973,330,330,1559602512.316118,1559602513.297091
7,1,4.521997,121,121,1559602513.870860,1559602518.392857
8,1,1.364125,340,340,1559602518.392857,1559602519.756982
9,1,1.412799,131,131,1559602520.315121,1559602521.727920
10,1,1.352001,350,350,1559602521.727920,1559602523.079921
11,1,2.931803,231,231,1559602523.655137,1559602526.586940
12,1,1.235895,360,360,1559602526.586940,1559602527.822835
13,0,1.796922,141,241,1559602528.398528,1559602530.195450
14,1,2.439331,370,370,1559602530.195450,1559602532.634781
15,1,1.962077,151,141,1559602533.205216,1559602535.167293
16,1,2.128375,380,380,1559602535.167293,1559602537.295668
17,1,1.462388,161,151,1559602537.876237,1559602539.338625
18,1,1.723994,390,390,1559602539.338625,1559602541.062619
