Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,7.875551,111,111,1559520924.198776,1559520932.074327
2,1,1.103189,310,310,1559520932.154741,1559520933.257930
3,1,1.752447,121,121,1559520933.324771,1559520935.077218
4,1,1.538043,320,320,1559520935.156205,1559520936.694248
5,1,1.581769,131,131,1559520936.758453,1559520938.340222
6,1,1.189021,330,330,1559520938.419117,1559520939.608138
7,1,1.693844,211,211,1559520939.667251,1559520941.361095
8,1,1.299324,340,340,1559520941.439294,1559520942.738618
9,0,1.469815,141,221,1559520942.797709,1559520944.267524
10,1,9.461603,350,350,1559520944.452311,1559520953.913914
11,0,55.745881,151,351,1559520953.995541,1559521009.741422
12,1,0.956197,360,350,1559521009.921672,1559521010.877869
13,0,12.259337,161,351,1559521010.952163,1559521023.211500
14,1,0.238696,370,350,1559521023.406775,1559521023.645471
15,0,0.856974,171,351,1559521023.721758,1559521024.578732
16,1,0.181656,380,350,1559521024.787461,1559521024.969117
17,0,0.631625,181,351,1559521025.026839,1559521025.658464
18,1,0.218592,390,350,1559521025.866926,1559521026.085518
