Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,0,2.106485,211,111,1559596177.989802,1559596180.096287
2,1,0.926106,310,310,1559596180.286749,1559596181.212855
3,1,1.682626,221,211,1559596181.771671,1559596183.454297
4,1,0.911482,320,320,1559596183.532541,1559596184.444023
5,1,1.394339,231,221,1559596185.010399,1559596186.404738
6,1,0.983440,330,330,1559596186.463540,1559596187.446980
7,1,1.470531,241,231,1559596188.013185,1559596189.483716
8,1,1.048747,340,340,1559596189.540392,1559596190.589139
9,1,1.352667,251,241,1559596191.167438,1559596192.520105
10,1,0.861501,350,350,1559596192.582178,1559596193.443679
11,1,1.621741,111,121,1559596193.998445,1559596195.620186
12,1,1.196158,360,360,1559596195.694875,1559596196.891033
13,0,3.628935,261,131,1559596197.466138,1559596201.095073
14,1,1.096566,370,370,1559596201.302391,1559596202.398957
15,1,2.602529,271,251,1559596202.974301,1559596205.576830
16,1,0.772560,380,380,1559596205.656382,1559596206.428942
17,1,2.517302,121,141,1559596207.006956,1559596209.524258
18,1,1.138863,390,390,1559596209.575954,1559596210.714817
