Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,10.583488,111,111,1559522127.079871,1559522137.663359
2,1,3.984895,310,310,1559522137.730770,1559522141.715665
3,1,3.797256,121,121,1559522141.768862,1559522145.566118
4,1,1.479398,320,320,1559522145.645708,1559522147.125106
5,1,1.453237,131,131,1559522147.201793,1559522148.655030
6,1,2.184239,330,330,1559522148.729788,1559522150.914027
7,1,12.225716,141,161,1559522150.988094,1559522163.213810
8,1,2.850076,340,340,1559522163.288707,1559522166.138783
9,1,1.458584,151,191,1559522166.217322,1559522167.675906
10,1,1.871840,350,350,1559522167.754908,1559522169.626748
11,1,8.692463,161,181,1559522169.707075,1559522178.399538
12,1,1.628734,360,360,1559522178.479284,1559522180.108018
13,0,1.595987,211,171,1559522180.164523,1559522181.760510
14,1,5.284684,370,370,1559522181.968680,1559522187.253364
15,1,5.515098,171,151,1559522187.328872,1559522192.843970
16,1,1.617460,380,380,1559522192.904818,1559522194.522278
17,1,3.456346,181,141,1559522194.598814,1559522198.055160
18,1,1.814850,390,390,1559522198.131275,1559522199.946125
