Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,14.889756,211,211,1559520680.402305,1559520695.292061
2,1,1.050995,310,310,1559520695.370873,1559520696.421868
3,1,1.248078,221,221,1559520696.495287,1559520697.743365
4,1,1.786058,320,320,1559520697.801781,1559520699.587839
5,1,2.217522,111,111,1559520699.667285,1559520701.884807
6,1,1.540695,330,330,1559520701.966612,1559520703.507307
7,1,1.127962,231,231,1559520703.565783,1559520704.693745
8,0,0.105275,340,230,1559520704.771515,1559520704.876790
9,1,16.219142,121,121,1559520705.084883,1559520721.304025
10,1,1.312049,350,340,1559520721.362486,1559520722.674535
11,1,0.905063,131,131,1559520722.754408,1559520723.659471
12,1,1.363573,360,350,1559520723.738857,1559520725.102430
13,1,1.317607,241,241,1559520725.180859,1559520726.498466
14,1,1.096409,370,360,1559520726.574024,1559520727.670433
15,1,1.538748,141,141,1559520727.751915,1559520729.290663
16,1,1.817045,380,370,1559520729.365316,1559520731.182361
17,1,1.691818,151,171,1559520731.261490,1559520732.953308
18,1,1.357951,390,380,1559520733.032439,1559520734.390390
