Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,7.108368,111,111,1559522815.250920,1559522822.359288
2,1,1.311637,310,310,1559522822.437625,1559522823.749262
3,1,2.009675,211,211,1559522823.820200,1559522825.829875
4,1,1.353965,320,320,1559522825.894321,1559522827.248286
5,1,1.594518,221,221,1559522827.323576,1559522828.918094
6,1,1.638774,330,330,1559522828.996373,1559522830.635147
7,1,12.972912,231,231,1559522830.713915,1559522843.686827
8,1,1.736369,340,340,1559522843.766484,1559522845.502853
9,1,4.951631,241,241,1559522845.583195,1559522850.534826
10,1,1.601368,350,350,1559522850.610380,1559522852.211748
11,1,4.484785,121,131,1559522852.291930,1559522856.776715
12,1,1.353263,360,360,1559522856.855361,1559522858.208624
13,1,1.709984,251,251,1559522858.267185,1559522859.977169
14,1,1.324647,370,370,1559522860.035949,1559522861.360596
15,1,2.270944,131,191,1559522861.435733,1559522863.706677
16,1,2.755082,380,380,1559522863.785536,1559522866.540618
17,1,6.045536,261,271,1559522866.619837,1559522872.665373
18,1,1.793127,390,390,1559522872.732253,1559522874.525380
