Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,2.103901,111,111,1559594543.038487,1559594545.142388
2,1,1.072245,310,310,1559594545.222082,1559594546.294327
3,1,1.697410,121,121,1559594546.368875,1559594548.066285
4,1,1.823607,320,320,1559594548.126631,1559594549.950238
5,1,0.830968,211,211,1559594550.031096,1559594550.862064
6,1,1.132687,330,330,1559594550.926554,1559594552.059241
7,1,2.909250,131,131,1559594552.128897,1559594555.038147
8,1,1.254935,340,340,1559594555.115672,1559594556.370607
9,1,1.474679,221,221,1559594556.422908,1559594557.897587
10,1,1.216386,350,350,1559594557.953681,1559594559.170067
11,1,1.123431,141,141,1559594559.250149,1559594560.373580
12,1,1.765699,360,360,1559594560.426857,1559594562.192556
13,1,0.755136,151,151,1559594562.251866,1559594563.007002
14,1,0.770093,370,370,1559594563.085921,1559594563.856014
15,1,0.859336,161,161,1559594563.924652,1559594564.783988
16,1,0.978133,380,380,1559594564.864839,1559594565.842972
17,1,0.788899,231,241,1559594565.917149,1559594566.706048
18,1,1.344330,390,390,1559594566.785239,1559594568.129569
