Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,3.273664,211,211,1559602564.241229,1559602567.514893
2,1,1.092621,310,310,1559602567.514893,1559602568.607514
3,1,2.223441,111,111,1559602569.164562,1559602571.388003
4,1,1.173467,320,320,1559602571.388003,1559602572.561470
5,1,1.546422,221,221,1559602573.119522,1559602574.665944
6,1,1.207045,330,330,1559602574.665944,1559602575.872989
7,1,12.629681,121,121,1559602576.452009,1559602589.081690
8,1,1.117149,340,340,1559602589.081690,1559602590.198839
9,1,0.899559,231,231,1559602590.761628,1559602591.661187
10,1,1.291425,350,350,1559602591.661187,1559602592.952612
11,1,1.269038,241,241,1559602593.531527,1559602594.800565
12,1,0.986029,360,360,1559602594.800565,1559602595.786594
13,1,1.671489,131,131,1559602596.363043,1559602598.034532
14,1,1.462973,370,370,1559602598.034532,1559602599.497505
15,1,0.869468,251,271,1559602600.077992,1559602600.947460
16,1,1.604954,380,380,1559602600.947460,1559602602.552414
17,1,5.674224,261,251,1559602603.129113,1559602608.803337
18,1,1.503951,390,390,1559602608.803337,1559602610.307288
