Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,1.664576,111,111,1559594877.511185,1559594879.175761
2,1,0.779766,310,310,1559594879.254990,1559594880.034756
3,1,1.084258,121,121,1559594880.610536,1559594881.694794
4,1,0.832042,320,320,1559594881.774091,1559594882.606133
5,1,0.972997,131,131,1559594883.159105,1559594884.132102
6,1,1.541791,330,330,1559594884.189708,1559594885.731499
7,1,1.191128,141,141,1559594886.311464,1559594887.502592
8,1,0.837802,340,340,1559594887.581845,1559594888.419647
9,1,0.980767,151,151,1559594889.000730,1559594889.981497
10,1,0.822266,350,350,1559594890.060690,1559594890.882956
11,1,0.919080,161,161,1559594891.441137,1559594892.360217
12,1,0.978920,360,360,1559594892.425910,1559594893.404830
13,1,1.120951,211,211,1559594893.957413,1559594895.078364
14,1,0.973404,370,370,1559594895.151874,1559594896.125278
15,1,1.258483,171,171,1559594896.686345,1559594897.944828
16,1,0.721094,380,380,1559594897.998685,1559594898.719779
17,1,1.102149,181,181,1559594899.281870,1559594900.384019
18,1,1.070118,390,390,1559594900.443089,1559594901.513207
