Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,6.494297,211,211,1559595832.330674,1559595838.824971
2,1,1.219943,310,310,1559595838.885897,1559595840.105840
3,1,1.727574,111,131,1559595840.658241,1559595842.385815
4,1,0.776955,320,320,1559595842.444358,1559595843.221313
5,1,1.598573,221,221,1559595843.801698,1559595845.400271
6,1,1.257942,330,330,1559595845.478282,1559595846.736224
7,1,1.896833,121,121,1559595847.316348,1559595849.213181
8,1,0.826718,340,340,1559595849.291399,1559595850.118117
9,1,1.486051,231,231,1559595850.698543,1559595852.184594
10,1,0.696976,350,350,1559595852.241155,1559595852.938131
11,0,1.410197,241,111,1559595853.519898,1559595854.930095
12,1,5.291423,360,360,1559595855.118072,1559595860.409495
13,1,2.292520,251,241,1559595860.963428,1559595863.255948
14,1,0.774557,370,370,1559595863.334602,1559595864.109159
15,1,1.415686,261,251,1559595864.662204,1559595866.077890
16,1,0.818160,380,380,1559595866.155156,1559595866.973316
17,1,1.396434,131,141,1559595867.527961,1559595868.924395
18,1,0.829479,390,390,1559595868.984348,1559595869.813827
