Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,13.660166,211,211,1559520773.520297,1559520787.180463
2,1,1.594763,310,310,1559520787.255720,1559520788.850483
3,1,1.347767,111,111,1559520788.929183,1559520790.276950
4,1,2.157924,320,320,1559520790.334504,1559520792.492428
5,1,1.240785,221,221,1559520792.561143,1559520793.801928
6,1,1.272770,330,330,1559520793.858606,1559520795.131376
7,1,1.462438,121,121,1559520795.210927,1559520796.673365
8,1,1.105420,340,340,1559520796.753870,1559520797.859290
9,0,3.334071,131,231,1559520797.940319,1559520801.274390
10,1,2.202456,350,350,1559520801.472802,1559520803.675258
11,1,6.789445,231,241,1559520803.754708,1559520810.544153
12,1,6.314089,360,360,1559520810.616949,1559520816.931038
