Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,3.076440,111,111,1559596391.032147,1559596394.108587
2,1,0.824932,310,310,1559596394.187642,1559596395.012574
3,1,1.472870,121,121,1559596395.587341,1559596397.060211
4,1,1.103692,320,320,1559596397.132783,1559596398.236475
5,1,1.326236,131,131,1559596398.816258,1559596400.142494
6,1,0.926202,330,330,1559596400.220727,1559596401.146929
7,0,1.283942,211,141,1559596401.704491,1559596402.988433
8,1,1.671587,340,340,1559596403.196344,1559596404.867931
9,1,1.829523,221,211,1559596405.421891,1559596407.251414
10,1,0.748846,350,350,1559596407.330557,1559596408.079403
11,1,1.776201,141,151,1559596408.651171,1559596410.427372
12,1,0.715310,360,360,1559596410.488960,1559596411.204270
13,0,2.355260,151,221,1559596411.764795,1559596414.120055
14,1,1.120944,370,370,1559596414.311104,1559596415.432048
15,1,1.543233,161,161,1559596416.003955,1559596417.547188
16,1,0.921378,380,380,1559596417.625793,1559596418.547171
17,1,2.411289,171,171,1559596419.127896,1559596421.539185
18,1,1.041176,390,390,1559596421.618499,1559596422.659675
