Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime,Rule,RuleNumber
1,1,4.393891,111,111,1559604204.941372,1559604209.335263,0,1
2,1,0.973955,310,310,1559604209.335263,1559604210.309218,0,1
3,1,3.769319,121,121,1559604210.867387,1559604214.636706,0,1
4,1,1.777012,320,320,1559604214.636706,1559604216.413718,0,1
5,1,1.261114,131,131,1559604216.971497,1559604218.232611,0,1
6,1,1.033465,330,330,1559604218.232611,1559604219.266076,0,1
7,0,1.260477,141,211,1559604219.829559,1559604221.090036,2,2
8,1,12.839377,340,340,1559604221.090036,1559604233.929413,2,2
9,0,1.193929,151,221,1559604234.490457,1559604235.684386,2,2
10,1,5.529825,350,350,1559604235.684386,1559604241.214211,2,2
11,0,2.059803,211,141,1559604241.767875,1559604243.827678,0,3
12,1,2.881729,360,360,1559604243.827678,1559604246.709407,0,3
13,0,7.954674,161,361,1559604247.275706,1559604255.230380,0,3
14,0,0.372036,370,341,1559604255.230380,1559604255.602416,0,3
15,0,0.000653,171,351,1559604256.309722,1559604256.310375,0,3
16,0,0.203291,380,311,1559604256.310375,1559604256.513666,0,3
17,0,0.000658,181,331,1559604257.201659,1559604257.202317,2,4
18,0,0.406091,390,321,1559604257.202317,1559604257.608408,2,4
