Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,5.192389,111,111,1559961128.140955,1559961133.333344
2,1,2.153088,310,310,1559961133.333344,1559961135.486432
3,1,1.993778,121,121,1559961136.066477,1559961138.060255
4,1,1.186095,320,320,1559961138.060255,1559961139.246350
5,1,0.686440,131,131,1559961139.826811,1559961140.513251
6,1,1.228905,330,330,1559961140.513251,1559961141.742156
7,1,2.203456,141,141,1559961142.321675,1559961144.525131
8,1,1.090003,340,340,1559961144.525131,1559961145.615134
9,1,1.287350,151,151,1559961146.195746,1559961147.483096
10,1,0.888367,350,350,1559961147.483096,1559961148.371463
11,1,1.379035,211,211,1559961148.951448,1559961150.330483
12,1,1.425827,360,360,1559961150.330483,1559961151.756310
13,1,1.134366,221,221,1559961152.339721,1559961153.474087
14,1,1.557013,370,370,1559961153.474087,1559961155.031100
15,1,2.372683,161,161,1559961155.610713,1559961157.983396
16,1,1.227716,380,380,1559961157.983396,1559961159.211112
17,1,15.565198,231,231,1559961159.790422,1559961175.355620
18,1,1.455774,390,390,1559961175.355620,1559961176.811394
