Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,0.710476,111,111,1559594280.105904,1559594280.816380
2,1,1.471273,310,310,1559594280.896109,1559594282.367382
3,1,1.223868,211,211,1559594282.445641,1559594283.669509
4,1,1.479502,320,320,1559594283.749726,1559594285.229228
5,1,0.760626,221,221,1559594285.303225,1559594286.063851
6,1,1.392083,330,330,1559594286.120240,1559594287.512323
7,1,0.920003,121,121,1559594287.578590,1559594288.498593
8,1,1.466105,340,340,1559594288.570683,1559594290.036788
9,1,12.592030,231,231,1559594290.091045,1559594302.683075
10,1,1.620605,350,350,1559594302.762096,1559594304.382701
11,1,1.433718,241,241,1559594304.448345,1559594305.882063
12,1,1.446109,360,360,1559594305.961382,1559594307.407491
13,1,0.975754,131,131,1559594307.465210,1559594308.440964
14,1,1.175711,370,370,1559594308.523226,1559594309.698937
15,1,1.031402,141,161,1559594309.777602,1559594310.809004
16,1,1.769508,380,380,1559594310.881918,1559594312.651426
17,1,2.386271,251,251,1559594312.704610,1559594315.090881
18,1,0.989095,390,390,1559594315.156197,1559594316.145292
