Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,6.664885,211,211,1559518139.662929,1559518146.327814
2,1,1.966094,310,310,1559518146.403547,1559518148.369641
3,0,0.749887,111,221,1559518148.435350,1559518149.185237
4,1,1.533961,320,320,1559518149.369207,1559518150.903168
5,1,2.950635,221,231,1559518150.957550,1559518153.908185
6,1,1.183858,330,330,1559518153.962573,1559518155.146431
7,1,1.085507,121,111,1559518155.210092,1559518156.295599
8,1,1.719175,340,340,1559518156.374431,1559518158.093606
9,1,1.434243,131,121,1559518158.168313,1559518159.602556
10,1,1.399631,350,350,1559518159.678908,1559518161.078539
11,1,1.151393,231,241,1559518161.158088,1559518162.309481
12,1,0.932714,360,360,1559518162.390795,1559518163.323509
13,1,2.079177,241,271,1559518163.402819,1559518165.481996
14,1,1.054050,370,370,1559518165.537477,1559518166.591527
15,1,1.111821,141,191,1559518166.669966,1559518167.781787
16,1,1.144787,380,380,1559518167.860272,1559518169.005059
17,1,1.267389,251,281,1559518169.069968,1559518170.337357
18,1,1.180620,390,390,1559518170.417740,1559518171.598360
