Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,163.963591,111,111,1559961414.640574,1559961578.604165
2,1,1.083944,310,310,1559961578.604165,1559961579.688109
3,1,6.317256,121,121,1559961580.273655,1559961586.590911
4,1,1.102018,320,320,1559961586.590911,1559961587.692929
5,1,1.331093,131,131,1559961588.273843,1559961589.604936
6,1,1.539934,330,330,1559961589.604936,1559961591.144870
7,1,2.463939,211,211,1559961591.724878,1559961594.188817
8,1,1.630961,340,340,1559961594.188817,1559961595.819778
9,1,1.674841,221,221,1559961596.399886,1559961598.074727
10,1,1.585929,350,350,1559961598.074727,1559961599.660656
11,1,1.261977,231,231,1559961600.241613,1559961601.503590
12,1,1.066099,360,360,1559961601.503590,1559961602.569689
13,1,1.390322,141,141,1559961603.150305,1559961604.540627
14,1,1.276147,370,370,1559961604.540627,1559961605.816774
15,1,1.935267,241,241,1559961606.397243,1559961608.332510
16,1,2.411207,380,380,1559961608.332510,1559961610.743717
17,1,1.450673,151,151,1559961611.325703,1559961612.776376
18,1,1.230138,390,390,1559961612.776376,1559961614.006514
