Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,15.692081,111,111,1559602672.807737,1559602688.499818
2,1,2.567161,310,310,1559602688.499818,1559602691.066979
3,1,1.569380,121,121,1559602691.646041,1559602693.215421
4,1,1.801315,320,320,1559602693.215421,1559602695.016736
5,1,1.510383,211,211,1559602695.596355,1559602697.106738
6,1,1.042007,330,330,1559602697.106738,1559602698.148745
7,1,1.631004,131,131,1559602698.719753,1559602700.350757
8,1,1.504856,340,340,1559602700.350757,1559602701.855613
9,1,5.195504,141,141,1559602702.433454,1559602707.628958
10,1,1.560566,350,350,1559602707.628958,1559602709.189524
11,1,1.626158,151,151,1559602709.758256,1559602711.384414
12,1,1.167968,360,360,1559602711.384414,1559602712.552382
13,1,13.100381,221,221,1559602713.132777,1559602726.233158
14,1,2.384967,370,370,1559602726.233158,1559602728.618125
15,1,2.018787,161,161,1559602729.198258,1559602731.217045
16,1,3.158972,380,380,1559602731.217045,1559602734.376017
17,1,23.430290,231,241,1559602734.954778,1559602758.385068
18,1,1.459478,390,390,1559602758.385068,1559602759.844546
