Step,Score,Time_d(s),CorrectMove,UserMove,StartTime,EndTime
1,1,4.209933,211,211,1559602295.058159,1559602299.268092
2,1,1.895435,310,310,1559602299.268092,1559602301.163527
3,1,4.364337,111,111,1559602301.716636,1559602306.080973
4,0,0.149931,320,110,1559602306.080973,1559602306.230904
5,1,2.299684,221,221,1559602306.936747,1559602309.236431
6,1,2.129431,330,320,1559602309.236431,1559602311.365862
7,1,1.752366,121,111,1559602311.946439,1559602313.698805
8,1,1.225999,340,330,1559602313.698805,1559602314.924804
9,1,9.794326,231,231,1559602315.498712,1559602325.293038
10,1,1.213086,350,340,1559602325.293038,1559602326.506124
11,1,1.426570,131,121,1559602327.066961,1559602328.493531
12,1,1.004984,360,350,1559602328.493531,1559602329.498515
13,1,2.582792,141,131,1559602330.060644,1559602332.643436
14,1,1.864997,370,360,1559602332.643436,1559602334.508433
15,1,1.115088,151,141,1559602335.066282,1559602336.181370
16,1,0.996082,380,370,1559602336.181370,1559602337.177452
17,0,0.678081,241,151,1559602337.741246,1559602338.419327
18,1,1.756024,390,380,1559602338.419327,1559602340.175351
